period,Q_reg_kWh,Q_reg_coverage,Q_reg_net_kWh,E_el_kWh,T_proc_in_mean,Phi_proc_in_mean,T_reg_eff_mean,Delta_x_proc_gkg_mean,T_AU_mean,T_SP_oben_mean,runtime_h,solar_fraction,Q_aux_kWh,Q_solar_kWh,solar_fraction_note,solar_collection_share_while_running
2026-06-10 00:00:00+02:00,0.0,0.0,0.0,0.0,,,28.893684210526313,,17.628684210526316,53.890263157894736,2.6666666666666665,,,,,
2026-06-11 00:00:00+02:00,0.0,0.0,0.0,0.0,,,30.207638888888887,,14.41125,55.648888888888884,5.7,,,,,
2026-06-12 00:00:00+02:00,0.0,0.0,0.0,0.0,,,32.30041666666667,,15.310972222222222,53.64263888888888,6.633333333333334,,,,,
2026-06-13 00:00:00+02:00,0.0,0.0,0.0,0.0,,,32.684444444444445,,17.58527777777778,48.61430555555556,7.266666666666667,,,,,
2026-06-14 00:00:00+02:00,0.0,0.0,0.0,0.0,,,26.831944444444446,,15.032222222222224,51.668055555555554,4.533333333333333,,,,,
2026-06-15 00:00:00+02:00,5.592368053739342,0.10292072322670376,5.58980214349874,0.0,,,29.08722222222222,,14.449027777777777,49.733333333333334,13.733333333333333,0.8783751934409624,0.7743509696334624,5.592368053739342,electric booster heater included (thermally inferred — not electrically metered); SF over timesteps where both sides known,0.0
2026-06-16 00:00:00+02:00,25.946716413861566,0.6356050069541029,25.946716413861566,0.0,16.966010251329426,52.667842350273695,30.07388888888889,0.39921728833746056,17.110833333333332,42.03138888888889,24.0,0.7403339119690485,9.100599391045577,25.946716413861566,electric booster heater included (thermally inferred — not electrically metered); SF over timesteps where both sides known,0.10277777777777777
2026-06-17 00:00:00+02:00,24.82726188184758,0.7093184979137691,24.82726188184758,0.0,17.5951182402013,50.29560102309058,40.08070175438597,0.6460313198845015,19.73411306042885,39.35009746588694,17.1,0.4963043493126376,23.33226727737886,22.989886280109182,electric booster heater included (thermally inferred — not electrically metered); SF over timesteps where both sides known,0.14619883040935672
2026-06-18 00:00:00+02:00,25.255131450043404,0.588317107093185,25.255131450043404,0.0,20.02009208448093,39.99435746142302,57.40560747663551,0.9795239247235384,27.404205607476637,60.391588785046736,7.0,0.5682355379461287,8.903096601998644,11.717166028342165,electric booster heater included (thermally inferred — not electrically metered); SF over timesteps where both sides known,0.0
2026-06-19 00:00:00+02:00,55.49676486997838,0.9902642559109874,55.49676486997838,0.0,22.042516974699073,35.606489473912035,53.0702037037037,1.1053303688789975,26.074722222222228,58.03062962962962,24.0,0.618809806926215,34.186307778215195,55.49676486997838,electric booster heater included (thermally inferred — not electrically metered); SF over timesteps where both sides known,0.24722222222222223
2026-06-20 00:00:00+02:00,57.499880565155294,0.9680111265646731,57.499880565155294,0.0,23.085183414675924,33.52061336122685,53.76818518518519,1.1175467520150768,26.426134259259257,60.92203703703704,24.0,0.638005691732347,32.62452006366757,57.499880565155294,electric booster heater included (thermally inferred — not electrically metered); SF over timesteps where both sides known,0.1736111111111111
2026-06-21 00:00:00+02:00,54.864155020179254,0.9833101529902643,54.864155020179254,0.0,23.302077462175927,33.02482071743055,57.19812499999999,1.2580483785569416,25.205300925925926,56.32576388888889,24.0,0.5512556078676123,44.661644331607555,54.864155020179254,electric booster heater included (thermally inferred — not electrically metered); SF over timesteps where both sides known,0.20833333333333334
