period,Q_reg_kWh,Q_reg_coverage,E_el_kWh,solar_fraction,solar_fraction_note,solar_collection_share_while_running,T_proc_in_mean,Phi_proc_in_mean,T_reg_eff_mean,Delta_x_proc_gkg_mean,T_AU_mean,T_SP_oben_mean,runtime_h
2026-06-15 00:00:00+02:00,5.592368053739362,0.01859763759738628,0.0,1.0,no auxiliary heat source metered; all regeneration heat traced to solar storage (boundary: regeneration coil),0.03042763157894737,,,22.87163316582915,,15.574572864321608,52.05515075376884,40.53333333333333
2026-06-22 00:00:00+02:00,292.17238829447405,0.8249652708870807,0.0,1.0,no auxiliary heat source metered; all regeneration heat traced to solar storage (boundary: regeneration coil),0.17787672838059526,21.44438708907164,38.16977072239462,38.22251619448997,1.0015861898240404,23.712294544603136,53.288161242488094,142.23333333333332
2026-06-29 00:00:00+02:00,348.65803202197134,0.9357015280809684,0.0,1.0,no auxiliary heat source metered; all regeneration heat traced to solar storage (boundary: regeneration coil),0.256759463248548,25.564876464069442,29.059599457514864,47.36114426864277,1.414057361383957,28.28810467988517,67.30169376965803,166.43333333333334
2026-07-06 00:00:00+02:00,13.61756584336429,0.09268035808320169,0.0,1.0,no auxiliary heat source metered; all regeneration heat traced to solar storage (boundary: regeneration coil),0.25946317962835513,23.033484197559623,33.51191905709928,35.261575317929434,1.0654474579012547,22.37000716460684,52.56955663256148,48.43333333333333
