Address,USB0::0x2A8D::0x8601::MY59013886::0::INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number:,MY59013886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware Version,A.03.03-01.00-02.01-00.02-02.00-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2026-07-01 19:17:41.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Time,2026-07-02 15:17:21.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Log Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modules,4,Slot 0,SCD,Slot 1,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,
Total Channels,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm,,,,,,,,,,,,
102,T_reg_in,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
103,Phi_reg_in,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
104,T_RL_III,Temp 4-Wire RTD,None,C,1,0.0003,False,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,
105,T_VL_III,Temp 4-Wire RTD,None,C,1,0.0003,False,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,
106,T_proc_in,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
107,Phi_proc_in,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
108,T_proc_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
109,Phi_proc_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
111,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
112,T_reg_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
113,Phi_reg_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
117,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
118,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
120,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
121,V_dot_III,DC Current,Auto,5.5,1,0,True,SCAL,25,-0.1,,Off,0,0,None,1,None,,,,,,,,,,,,
122,,DC Current,Auto,5.5,1,0,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,293622,220328,147346,220185,293594,,,,,,,,,,,,,,,,,,,,,,,,
SCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQM901A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,193,194,195,196,197,198,199
Odometer,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:20.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Date/Time:,5/14/2025 12:36:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Temperature:,30.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Date/Time:,5/14/2025 12:22:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Temperature:,31.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,102 (°C)- T_reg_in,103- Phi_reg_in,104 (°C)- T_RL_III,105 (°C)- T_VL_III,106 (°C)- T_proc_in,107- Phi_proc_in,108 (°C)- T_proc_out,109- Phi_proc_out,111 (Vdc),112 (°C)- T_reg_out,113- Phi_reg_out,117 (Vdc),118 (Vdc),120 (Vdc),121- V_dot_III,122 (Adc),,,,,,,,,,,,
2026-07-01 19:17:41.607,1,22.8250164,43.101827,50.2042822,54.6857958,24.0722695,39.3737913,27.2648665,21.6025375,0.00760747677,28.6037169,46.7495022,0.0231016353,5.25310816,0.399968872,-0.000116419911,0.00400712391,,,,,,,,,,,,
2026-07-01 19:18:01.607,2,22.796069,43.1375538,50.0326632,54.4872826,24.0482316,39.1193426,27.19508,21.7875333,0.00442177953,28.4237965,47.0892806,0.0231243642,5.23143489,0.39996365,-0.000114515903,0.004006532,,,,,,,,,,,,
2026-07-01 19:18:21.659,3,22.7530401,43.2242303,49.8662388,54.2960212,24.1092735,38.812173,27.0558642,21.9847127,0.00513382269,28.2435599,47.2838375,0.0229288572,5.23133426,0.399969001,-0.000120804321,0.00400449741,,,,,,,,,,,,
2026-07-01 19:18:41.607,4,22.7384063,43.3100988,49.706981,54.1034398,24.1164349,38.6327748,27.0004259,22.1588429,-0.00169252284,28.0393446,47.2231624,0.0231350076,5.20832144,0.399969916,-0.000116015617,0.00400532054,,,,,,,,,,,,
2026-07-01 19:19:01.612,5,22.7352325,43.3974138,49.5466461,53.9186755,24.1374703,39.5427451,26.9550455,22.2564477,0.000237939921,27.8679127,47.6108068,0.0231682191,5.20497534,0.399976645,-0.000118547921,0.00400451621,,,,,,,,,,,,
2026-07-01 19:19:21.607,6,22.7334235,43.452135,49.3944063,53.7383971,24.1474943,39.7094702,26.9153922,22.4316707,0.0047697983,27.7095515,48.0728795,0.0230007589,5.18403441,0.399973409,-0.000122997892,0.00400408263,,,,,,,,,,,,
2026-07-01 19:19:41.640,7,22.6833793,43.5164835,49.2413808,53.5645074,24.1484166,39.326995,26.7803107,22.6274831,0.00580762383,27.540856,48.4016291,0.0231253473,5.16087951,0.399565975,-0.000117703819,0.00400595342,,,,,,,,,,,,
2026-07-01 19:20:01.608,8,22.7098967,43.5776516,49.0930582,53.3954302,24.1792305,39.4765476,26.6952152,22.7805803,0.00587084419,27.3997347,48.5500896,0.0230745601,5.16087322,0.399974073,-0.000113679996,0.00400582951,,,,,,,,,,,,
2026-07-01 19:20:21.658,9,22.6724946,43.5879102,48.9438424,53.2318509,24.177718,39.5997598,26.6549013,23.0284941,0.00526968888,27.2579565,49.1346357,0.0231487042,5.13797497,0.398408829,-0.000117591819,0.00400652359,,,,,,,,,,,,
2026-07-01 19:20:41.650,10,22.6403661,43.6736921,48.798286,53.0770441,24.1499864,39.4629933,26.5822658,23.257328,0.00500649713,27.1245323,49.3113173,0.0231801642,5.13738102,0.39997198,-0.000118211919,0.00400499502,,,,,,,,,,,,
2026-07-01 19:21:01.616,11,22.6434498,43.7413247,48.6542136,52.9258242,24.1411791,39.4714285,26.5223068,23.8284626,0.00544269619,27.0221735,49.893863,4.55825444,5.12518139,0.543836492,-0.000114409366,0.00400441481,,,,,,,,,,,,
2026-07-01 19:21:21.607,12,22.6729435,43.7427824,48.5098674,52.7835242,24.1379357,39.7740017,26.8485887,24.8509261,0.00303514461,27.3173085,49.8942827,5.28405757,5.148831,0.558545066,-0.000120334465,0.00400567249,,,,,,,,,,,,
2026-07-01 19:21:41.607,13,22.8108855,43.075286,48.3655036,52.6494507,24.0824348,39.8965028,27.2528388,24.7191621,0.000264396076,27.7592541,48.9169069,5.3784542,5.17216761,0.561071196,-0.00012099281,0.00400713942,,,,,,,,,,,,
2026-07-01 19:22:01.608,14,22.9345428,42.5380921,48.2184532,52.5289301,24.0562036,40.1010145,27.5229386,24.3595135,0.00548091294,28.0646846,47.6747324,5.44314361,5.21941956,0.560880992,-0.000120298953,0.00400748439,,,,,,,,,,,,
2026-07-01 19:22:21.608,15,23.1057573,42.7961527,48.0312686,52.4187036,24.0173087,40.1200544,27.6673636,24.0242095,0.00591792562,28.2322005,46.5105095,5.45435015,5.21952168,0.555129591,0.208413759,0.00400544335,,,,,,,,,,,,
2026-07-01 19:22:41.628,16,23.1499937,41.8583983,40.1827551,53.6334296,23.9977487,39.898244,27.7118349,23.9057454,0.00285463783,28.3974448,45.5983861,5.78800431,5.24266614,0.552974526,0.20257176,0.00400544281,,,,,,,,,,,,
2026-07-01 19:23:01.623,17,23.2129058,41.42669,44.6975188,55.425467,23.9753433,39.886574,27.7208571,24.0825413,0.00322952875,28.3738374,45.1075051,5.75218152,5.24270625,0.550315171,0.17650928,0.00400513686,,,,,,,,,,,,
2026-07-01 19:23:21.607,18,23.2789565,41.3486264,51.9313543,56.6458659,23.9459353,40.0114559,27.6801019,24.2669178,0.00631615156,28.4252114,45.0333408,5.77994475,5.24284281,0.549443628,0.175638914,0.00400513183,,,,,,,,,,,,
2026-07-01 19:23:41.656,19,23.2956076,41.927041,54.4271288,57.4242013,23.9155578,40.125507,27.5906736,24.4547172,-0.000900538944,28.4803808,45.2318507,5.89873297,5.24291495,0.551359904,0.166863347,0.00400568932,,,,,,,,,,,,
2026-07-01 19:24:01.607,20,23.307624,41.8160918,55.1164686,57.9372237,23.9083279,40.2357375,27.4752622,24.7619627,0.00526857189,28.5791421,45.4584228,6.08958716,5.24264365,0.55459509,0.169840082,0.004006756,,,,,,,,,,,,
