Address,USB0::0x2A8D::0x8601::MY59013886::0::INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number:,MY59013886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware Version,A.03.03-01.00-02.01-00.02-02.00-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2026-07-13 13:43:13.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Time,2026-07-15 11:13:13.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Log Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modules,4,Slot 0,SCD,Slot 1,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,
2026-07-13 13:49:53.643,21,27.0482461,42.2805949,55.8226648,68.9788468,23.6757286,33.5016063,26.0783131,22.0106136,0.00268377946,30.2847463,36.8951371,6.13756475,26.1365948,100.709748,-0.000115537566,330.769674,,,,,,,,,,,,
2026-07-13 13:50:13.643,22,27.093868,41.7306638,55.6485528,68.7039884,23.7142323,33.4471561,26.0384116,22.210568,0.00407012939,30.1852556,36.9828371,6.15096554,25.9850096,101.320207,-0.000115398248,328.093031,,,,,,,,,,,,
2026-07-13 13:50:33.670,23,27.1566441,42.3384591,55.3855898,68.4395463,23.732628,33.3813595,25.9406759,22.4142112,0.00212655918,30.0934448,37.1226333,6.04274416,25.9423522,103.993044,-0.000106987283,329.018654,,,,,,,,,,,,
2026-07-13 13:50:53.647,24,27.2301235,42.0818977,54.9447038,68.1905167,23.7459614,32.7930174,25.8650091,22.6691947,0.00586655779,29.9606781,37.2572358,6.08090412,25.9418876,101.592368,-0.000115278052,327.821122,,,,,,,,,,,,
2026-07-13 13:51:13.674,25,27.3143266,41.2707307,54.320349,67.9742404,23.7021398,32.6976592,25.8239568,22.9740294,0.00038497832,29.9123729,37.2816603,6.15876217,25.7218228,101.526746,-0.000110161542,327.902091,,,,,,,,,,,,
2026-07-13 13:51:33.667,26,27.3832955,41.722396,53.6215009,67.7891646,23.7094226,32.8977964,25.7304199,23.215533,0.00610204079,29.7828299,37.3183294,6.19463395,25.7225553,103.208925,-0.000116108495,326.872444,,,,,,,,,,,,
2026-07-13 13:51:53.662,27,27.4351706,41.8031151,53.0026146,67.6314311,23.7305117,33.2627885,25.6152363,23.5374963,-0.00189557171,29.6884224,37.4513802,6.18960165,25.7241299,105.413149,-0.000114633367,329.310409,,,,,,,,,,,,
2026-07-13 13:52:13.665,28,27.5078927,41.4362368,52.5375023,67.4727044,23.7262701,33.0995648,25.5352464,23.8407574,0.000471315344,29.6237967,37.6723951,6.2077249,25.5168683,106.101403,-0.000109495002,329.358788,,,,,,,,,,,,
2026-07-13 13:52:33.643,29,27.5953229,41.0680625,52.2293504,67.294859,23.7304793,33.1894708,25.4542883,24.0430947,0.000636926604,29.5502186,37.5515301,6.18224484,25.5163167,105.512844,-0.000110757056,329.071643,,,,,,,,,,,,
2026-07-13 13:52:53.680,30,27.5580258,42.3409847,52.0558973,67.0955672,23.7372192,33.0056996,25.4078629,24.3197589,0.00802098436,29.4635756,37.6007815,6.09285086,25.4947152,104.784156,-0.000114993954,326.066456,,,,,,,,,,,,
2026-07-13 13:53:13.643,31,27.5729542,41.2058102,51.9640508,66.8665171,23.7762251,33.0447415,25.3057829,24.5833497,0.00447495615,29.4214913,37.7551923,6.04866071,25.3062432,101.540814,-0.000116870645,326.160031,,,,,,,,,,,,
2026-07-13 13:53:33.643,32,27.6137862,40.7429387,51.8867655,66.6110279,23.7387667,33.1444003,25.2508123,24.7770699,0.0030253491,29.3478273,37.7548345,6.02674959,25.3082455,105.002167,-0.000118195529,328.667423,,,,,,,,,,,,
2026-07-13 13:53:53.643,33,27.7213443,40.1215706,51.7529428,66.3420324,23.7183613,33.0989943,25.1330414,24.8616897,0.00549384798,29.2471421,37.6793926,6.11225816,25.1019278,101.887201,-0.000114067901,328.779861,,,,,,,,,,,,
2026-07-13 13:54:13.644,34,27.715379,39.6470788,51.5126624,66.061804,23.733075,32.6972258,25.0551524,25.0685159,0.00232032966,29.1120054,37.4935669,6.06546006,25.1008377,99.6844772,-0.000113226531,328.518162,,,,,,,,,,,,
2026-07-13 13:54:33.644,35,27.6985755,39.4836154,51.1206174,65.7881155,23.7683682,33.3205258,24.9898482,25.1623431,0.000371641071,28.9865542,37.4525162,6.12961741,25.1011842,101.91546,-0.00011465522,328.383884,,,,,,,,,,,,
2026-07-13 13:54:53.675,36,27.6427189,40.1206329,50.5423004,65.5241154,23.7905619,33.993471,24.8967055,25.3483951,0.00716925516,28.8491348,37.547243,6.13812669,24.8934093,103.68474,-0.000112019111,327.989519,,,,,,,,,,,,
2026-07-13 13:55:13.644,37,27.6038962,40.5678648,49.7819687,65.2791311,23.7891015,33.6170067,24.8312585,25.5687601,-0.00143174435,28.7836278,37.8465813,6.07375953,24.8918677,99.6733203,-0.00011841953,331.56638,,,,,,,,,,,,
2026-07-13 13:55:33.670,38,27.6444674,39.8864018,48.8702381,65.0539309,23.7759697,33.7387477,24.7317377,25.7540472,0.000445390104,28.7365028,37.872074,5.90923646,24.8797363,98.5247999,-0.000110224371,328.239772,,,,,,,,,,,,
2026-07-13 13:55:53.643,39,27.6327758,39.8331005,47.8599282,64.8494568,23.7910078,33.8028338,24.6663305,26.0053359,0.000391760712,28.6406249,37.9290143,5.9164568,24.6851235,100.986936,-0.000114136194,325.864022,,,,,,,,,,,,
2026-07-13 13:56:13.643,40,27.585366,40.2429373,46.7986202,64.6615796,23.7891739,33.7703736,24.6513786,26.2902305,0.00588923548,28.5718018,38.0676865,6.04637358,24.6852341,102.99439,-0.000114341073,329.294442,,,,,,,,,,,,
2026-07-13 13:56:33.643,41,27.5818835,40.2299121,45.7327919,64.4940625,23.8072231,33.964357,24.5718304,26.5188145,0.00141215333,28.5513806,38.2270494,6.09181328,24.6858109,102.871128,-0.000113434142,327.597832,,,,,,,,,,,,
2026-07-13 13:56:53.643,42,27.5730988,40.4419029,44.7004826,64.3377607,23.7583883,33.4953728,24.5435723,26.5622326,0.00249449763,28.5236901,38.3497134,6.06089161,24.5059838,103.036226,-0.000112278624,326.540314,,,,,,,,,,,,
2026-07-13 13:57:13.643,43,27.579681,40.8592396,43.7209381,64.1941394,23.7319397,33.691207,24.5136641,26.8345631,0.00735373118,28.4795102,38.4461769,6.12674623,24.4845945,105.529438,-0.000113554337,329.697207,,,,,,,,,,,,
2026-07-13 13:57:33.643,44,27.5591607,41.5556249,42.8087678,64.0577733,23.7126179,33.62768,24.4854425,27.0312096,0.00301349428,28.4976687,38.7198183,6.19874548,24.4792471,102.78703,-0.000110721544,328.881139,,,,,,,,,,,,
2026-07-13 13:57:53.685,45,27.6189698,41.2450263,41.9709394,63.9293203,23.7014797,33.6637936,24.4574283,27.1312351,0.00242926393,28.5203603,38.9839,6.12504401,24.4792558,102.184317,-0.000116007421,327.939986,,,,,,,,,,,,
2026-07-13 13:58:13.647,46,27.7311472,39.9812665,41.2006255,63.8014887,23.6703516,33.7866454,24.4180857,27.2766826,0.00158492391,28.5377445,38.8316914,6.19125789,24.4785785,102.922682,-0.000117108304,328.713152,,,,,,,,,,,,
2026-07-13 13:58:33.643,47,27.7735055,40.323231,40.4961864,63.6811916,23.6825549,33.458067,24.353769,27.3504823,0.00719350491,28.4747963,38.7408564,6.04637294,24.4783022,102.498346,-0.000113931315,329.930195,,,,,,,,,,,,
2026-07-13 13:58:53.659,48,27.7788482,39.8239467,39.8533137,63.5603363,23.6744951,33.3251924,24.3145593,27.4764159,0.00288006203,28.4375041,38.7357212,6.13007647,24.2722094,102.846027,-0.000119752609,328.486337,,,,,,,,,,,,
2026-07-13 13:59:13.663,49,27.7847775,39.8672263,39.2691434,63.4416161,23.6172567,33.5726349,24.295569,27.7230512,0.00568556146,28.3734499,38.6790119,6.0107332,24.2708161,104.573796,-0.000118567043,327.359721,,,,,,,,,,,,
2026-07-13 13:59:33.643,50,27.7756861,39.9692791,38.729203,63.324115,23.6210813,33.8088577,24.2901837,27.7767577,0.00399439229,28.3226523,38.6656354,5.91104955,24.2704347,104.165998,-0.000112551796,328.859374,,,,,,,,,,,,
2026-07-13 13:59:53.652,51,27.7310764,40.3570906,38.2313681,63.2102627,23.629688,33.6813076,24.2229613,27.7666802,-0.000458311353,28.2527893,38.6616365,5.9868252,24.2708828,103.940894,-0.000111502816,328.927121,,,,,,,,,,,,
2026-07-13 14:00:13.662,52,27.7168756,40.4492307,37.771433,63.0981557,23.6170055,33.6294279,24.1905882,27.91338,0.000962853756,28.2042722,38.8190156,6.03210943,24.2698691,102.869803,-0.000114171706,329.754819,,,,,,,,,,,,
2026-07-13 14:00:33.689,53,27.6774004,40.8933566,37.3454924,62.9875007,23.6221721,33.7995041,24.186892,28.1198008,0.00707948442,28.1840075,38.8683702,6.13417683,24.2716095,102.327716,-0.000117684697,327.526827,,,,,,,,,,,,
2026-07-13 14:00:53.643,54,27.671578,40.1826617,36.948249,62.8812236,23.6263593,33.6905226,24.1596155,28.178525,0.000123333353,28.1759649,38.9050522,6.01160048,24.2710503,103.578291,-0.000113903997,329.241023,,,,,,,,,,,,
2026-07-13 14:01:13.682,55,27.6765245,40.6443962,36.576623,62.773113,23.5948878,33.9153812,24.1147553,28.2860799,0.00572833121,28.0907816,38.9062386,6.01349489,24.1169395,104.21594,-0.000117255817,327.478298,,,,,,,,,,,,
2026-07-13 14:01:33.656,56,27.6882254,40.2387192,36.230416,62.6662025,23.6269116,33.994628,24.0913503,28.3732785,0.00404616463,28.066101,39.0513848,6.05808164,24.063186,103.58707,-0.000118460506,330.796001,,,,,,,,,,,,
2026-07-13 14:01:53.643,57,27.736746,40.0425226,35.9024615,62.5614555,23.6432431,33.6875203,24.0604817,28.518312,0.00671487625,28.052752,39.0721698,6.25423637,24.0649982,105.582217,-0.000115980104,329.068133,,,,,,,,,,,,
2026-07-13 14:02:13.643,58,27.763492,40.0556108,35.5934072,62.458788,23.6253177,33.6349266,24.0081903,28.6600134,0.00565249988,28.0714769,39.0719812,6.08085227,24.0640343,104.079236,-0.000114185365,329.141752,,,,,,,,,,,,
2026-07-13 14:02:33.643,59,27.7551104,39.9353085,35.2998352,62.357069,23.5782375,33.5823367,23.9592098,28.8003993,0.00597859252,28.0039611,39.1284852,6.08463071,24.0643717,102.696995,-0.000109620661,329.509954,,,,,,,,,,,,
2026-07-13 14:02:53.644,60,27.7102693,39.7764329,35.0183057,62.2588471,23.6001623,33.8594603,23.8815543,28.9629785,0.00432146402,27.9574599,39.2026646,6.18347959,24.0303197,105.390316,-0.000116507326,327.427113,,,,,,,,,,,,
2026-07-13 14:03:13.643,61,27.7282079,40.2023578,34.7497234,62.1587555,23.5629332,33.9333386,23.9206059,29.0961577,0.00222093578,27.9075449,39.2322351,6.17138396,23.9831405,104.146986,-0.000112671992,329.62763,,,,,,,,,,,,
2026-07-13 14:03:33.661,62,27.6241951,39.9769025,34.4940023,62.0641648,23.562922,33.8366816,23.8673705,29.1358912,0.00732102814,27.861783,39.3102557,5.93553832,23.8560483,102.349284,-0.000114942051,328.231864,,,,,,,,,,,,
2026-07-13 14:03:53.649,63,27.5806165,41.0995287,34.249128,61.9677702,23.5232487,33.975447,23.8345023,29.1857079,0.00701700183,27.833826,39.3112201,6.05105191,23.8567273,105.943348,-0.000113693655,330.477311,,,,,,,,,,,,
2026-07-13 14:04:13.671,64,27.5549281,40.5090763,34.0097175,61.8708818,23.4976734,34.0990906,23.7836524,29.3056162,0.00201639299,27.785917,39.4561156,6.08688739,23.8562577,102.273093,-0.000113688192,329.217865,,,,,,,,,,,,
2026-07-13 14:04:33.643,65,27.5192709,40.6104681,33.781767,61.7863013,23.5072961,33.9949157,23.7678959,29.4158564,0.00597893957,27.7800452,39.532224,6.10961431,23.8567733,103.80051,-0.000115764298,326.944008,,,,,,,,,,,,
2026-07-13 14:04:53.643,66,27.5391628,40.2468367,33.558423,61.6990908,23.4961822,33.8667387,23.7575267,29.4366101,0.002323044,27.7184192,39.4762653,6.10009499,23.8570021,105.717352,-0.000112538138,328.215071,,,,,,,,,,,,
2026-07-13 14:05:13.644,67,27.5270616,40.6345728,33.3449398,61.6167219,23.5075792,33.9435122,23.7350895,29.4956485,0.00695516967,27.6926699,39.4567343,6.02501185,23.8571783,104.340094,-0.000114775416,330.870775,,,,,,,,,,,,
2026-07-13 14:05:33.670,68,27.478928,40.5195431,33.1353785,61.5275001,23.4833087,34.1586258,23.7220674,29.6101851,0.00186282732,27.6558815,39.4994301,6.00564236,23.8569218,104.003487,-0.00011249443,330.022842,,,,,,,,,,,,
2026-07-13 14:05:53.644,69,27.4687643,40.9326011,32.9351175,61.4543886,23.5039028,34.2870148,23.7152764,29.7446728,0.000696012248,27.6312527,39.5566314,6.06048818,23.6752071,103.628764,-0.000119793585,327.720745,,,,,,,,,,,,
2026-07-13 14:06:13.696,70,27.4271326,40.6815803,32.7389069,61.3764997,23.474695,34.4142944,23.6701882,29.8090713,0.00102740714,27.5947481,39.6297564,5.93144182,23.721077,102.960191,-0.000114821855,328.076135,,,,,,,,,,,,
2026-07-13 14:06:33.643,71,27.4564146,40.4152046,32.5470721,61.3048868,23.5070072,34.1114588,23.6999297,29.8402607,0.0041007892,27.5766056,39.5887567,6.03862616,23.7951324,103.329674,-0.00011764099,328.443449,,,,,,,,,,,,
2026-07-13 14:06:53.695,72,27.3977765,40.507863,32.3634073,61.2281079,23.4862892,34.0993854,23.6267874,29.8825005,0.00831663093,27.5285734,39.6216398,6.05217781,23.6499268,104.881464,-0.000119127045,329.099602,,,,,,,,,,,,
2026-07-13 14:07:13.687,73,27.4342439,40.8720529,32.1849228,61.1615042,23.4831642,34.332887,23.6239869,29.9919454,-3.94302672E-05,27.4971114,39.7843989,6.02853416,23.6493402,102.825511,-0.000116780498,329.600723,,,,,,,,,,,,
2026-07-13 14:07:33.683,74,27.4618936,41.0519328,32.0123707,61.0971327,23.500123,34.1673198,23.5851936,30.1264569,0.00167759745,27.4926616,39.8569233,6.13154516,23.6505829,105.18405,-0.000116856986,328.29175,,,,,,,,,,,,
2026-07-13 14:07:53.643,75,27.4977432,41.7050973,31.8431178,61.0311655,23.4922615,34.0723071,23.5621612,30.2759014,0.00303639491,27.5150015,40.056469,6.13234829,23.6495712,105.097302,-0.000112671992,327.632825,,,,,,,,,,,,
2026-07-13 14:08:13.643,76,27.5761846,41.5807012,31.6771696,60.9689734,23.4686085,33.9834298,23.5032515,30.3644409,0.00165521855,27.5463178,40.2335061,6.00108038,23.650326,103.826744,-0.000117326842,327.807498,,,,,,,,,,,,
2026-07-13 14:08:33.669,77,27.6646515,41.049087,31.5204476,60.910293,23.4684987,33.9866897,23.5005966,30.5668258,0.00596969106,27.5464127,40.3389181,6.13970719,23.6493974,107.655054,-0.000116029275,329.676862,,,,,,,,,,,,
2026-07-13 14:08:53.643,78,27.708928,40.2748369,31.3649244,60.8515598,23.4758299,34.3467625,23.5072607,30.7409552,0.00690155177,27.5939595,40.3580989,5.88502074,23.6497972,104.031276,-0.000114614244,328.543273,,,,,,,,,,,,
2026-07-13 14:09:13.643,79,27.7417931,39.7028848,31.2146364,60.7957998,23.4874524,34.1033149,23.4764866,30.7310128,0.00198828204,27.5932288,40.0246565,6.13238682,23.6488574,105.44411,-0.0001139559,327.617869,,,,,,,,,,,,
2026-07-13 14:09:33.685,80,27.7643739,39.9077431,31.070229,60.7356633,23.4834473,33.9446106,23.4375393,30.6684646,9.49603842E-05,27.5328665,39.9906507,6.03049506,23.4498869,105.159837,-0.000117206646,326.330272,,,,,,,,,,,,
