Address,USB0::0x2A8D::0x8601::MY59013886::0::INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number:,MY59013886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware Version,A.03.03-01.00-02.01-00.02-02.00-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2026-07-13 13:43:13.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Time,2026-07-15 11:13:13.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Log Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modules,4,Slot 0,SCD,Slot 1,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,
Total Channels,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm,,,,,,,,,,,,
102,T_reg_in,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
103,Phi_reg_in,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
104,T_RL_III,Temp 4-Wire RTD,None,C,1,0.0003,False,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,
105,T_VL_III,Temp 4-Wire RTD,None,C,1,0.0003,False,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,
106,T_proc_in,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
107,Phi_proc_in,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
108,T_proc_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
109,Phi_proc_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
111,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
112,T_reg_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
113,Phi_reg_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
117,u_proc_out,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
118,T_proc_out_Vol,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,9,-20,,Off,0,0,None,1,None,,,,,,,,,,,,
120,V_dot_reg,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,125,-50,,Off,0,0,None,1,None,,,,,,,,,,,,
121,V_dot_III,DC Current,Auto,5.5,1,0,True,SCAL,25,-0.1,,Off,0,0,None,1,None,,,,,,,,,,,,
122,V_dot_II,DC Current,Auto,5.5,1,0,True,SCAL,62500,-250,,Off,0,0,None,1,None,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,460407,345418,230743,345273,460379,,,,,,,,,,,,,,,,,,,,,,,,
SCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQM901A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,193,194,195,196,197,198,199
Odometer,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:20.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Date/Time:,5/14/2025 12:36:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Temperature:,30.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Date/Time:,5/14/2025 12:22:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Temperature:,31.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,102 (°C)- T_reg_in,103- Phi_reg_in,104 (°C)- T_RL_III,105 (°C)- T_VL_III,106 (°C)- T_proc_in,107- Phi_proc_in,108 (°C)- T_proc_out,109- Phi_proc_out,111 (Vdc),112 (°C)- T_reg_out,113- Phi_reg_out,117 (Vdc)- u_proc_out,118- T_proc_out_Vol,120- V_dot_reg,121- V_dot_III,122- V_dot_II,,,,,,,,,,,,
2026-07-13 13:43:13.643,1,27.2681855,41.4869537,59.1512164,73.2017149,23.8384059,32.41128,26.7965266,20.470761,0.000990916449,32.9967592,40.2336375,5.71698556,26.7561118,98.6150728,-0.000110743398,328.730922,,,,,,,,,,,,
2026-07-13 13:43:33.643,2,27.3778076,40.8544411,58.9342251,72.9349509,23.8192069,32.7110636,26.8369568,20.2073217,0.00160128118,32.9758344,39.818641,5.74156556,26.7570832,100.677794,-0.00011783221,329.431465,,,,,,,,,,,,
2026-07-13 13:43:53.644,3,27.4205901,40.3768354,58.7234217,72.6627168,23.78079,32.6065169,26.8597281,20.0476667,-0.000202345577,32.9533039,39.4006685,5.94200203,26.7584622,98.9151601,-0.000114431219,329.172949,,,,,,,,,,,,
2026-07-13 13:44:13.645,4,27.3943605,40.4915923,58.5205559,72.3884348,23.7810334,32.7384614,26.8721302,19.8360912,0.000191407792,32.8936364,39.04145,5.87938207,26.7572814,98.2561438,-0.000114190828,328.710789,,,,,,,,,,,,
2026-07-13 13:44:33.688,5,27.3781935,40.2944169,58.3236125,72.1220483,23.7724163,32.7032038,26.8733118,19.7702185,0.000112062309,32.7862278,38.7794508,5.8507603,26.7563206,100.513261,-0.000115013076,327.872055,,,,,,,,,,,,
2026-07-13 13:44:53.643,6,27.3233968,40.605955,58.1318854,71.8592354,23.7902052,32.8220845,26.8934262,19.7428336,0.00574101803,32.6700331,38.4189599,5.93158374,26.7587007,98.576695,-0.000115130539,329.350668,,,,,,,,,,,,
2026-07-13 13:45:13.673,7,27.2641581,40.6430907,57.9458756,71.603325,23.7738851,33.0914753,26.9370417,19.7568834,0.0047367666,32.5144464,38.2990311,5.97917583,26.7575579,100.812115,-0.000116583814,328.305354,,,,,,,,,,,,
2026-07-13 13:45:33.643,8,27.1913723,40.8722792,57.7643632,71.3579571,23.8034632,33.9864822,26.9307814,19.761287,0.00542469562,32.3941906,37.9440135,6.05669553,26.7581787,99.5151972,-0.000112385161,328.896847,,,,,,,,,,,,
2026-07-13 13:45:53.646,9,27.1391617,41.9388009,57.5858659,71.1327276,23.8106563,33.199048,26.8920615,19.8167907,0.00486532408,32.2508385,37.8402229,6.10546022,26.7581347,103.181587,-0.000111565645,328.933793,,,,,,,,,,,,
2026-07-13 13:46:13.643,10,27.1587115,41.8726898,57.4068763,70.9133799,23.7926182,33.3235808,26.8359039,19.9441249,-0.00180704896,32.1198756,37.8684259,6.04150678,26.7584961,102.067297,-0.000117971528,329.974716,,,,,,,,,,,,
2026-07-13 13:46:33.643,11,27.2361218,41.3998789,57.2339478,70.7190288,23.8065646,33.8662567,26.7753913,20.138648,0.00711728287,32.0455744,37.7647118,6.18610215,26.7585915,100.098671,-0.000113210141,328.968514,,,,,,,,,,,,
2026-07-13 13:46:53.660,12,27.2548124,41.1978324,57.0614883,70.5372185,23.7733761,33.5846484,26.6981391,20.2576914,0.00439362031,31.8756148,37.4508842,6.29722445,26.7560949,100.490508,-0.000115974641,328.965311,,,,,,,,,,,,
2026-07-13 13:47:13.663,13,27.2454238,41.2261988,56.8935056,70.3764934,23.7578452,32.9177086,26.6587977,20.4503764,0.00232796933,31.7358189,37.2189103,6.0690644,26.5512473,100.889473,-0.000113267507,327.886916,,,,,,,,,,,,
2026-07-13 13:47:33.643,14,27.278748,40.8468993,56.7295273,70.2386375,23.7599505,32.3723799,26.5869114,20.6264689,0.00385450401,31.5905104,37.0478014,6.09688982,26.5513836,100.104318,-0.000114507707,328.67357,,,,,,,,,,,,
2026-07-13 13:47:53.671,15,27.2883985,40.339423,56.5795629,70.1110783,23.7624065,32.3204956,26.5176759,20.7614141,-0.0010983568,31.3855321,36.8251565,6.16676425,26.3664773,101.065453,-0.000115223418,325.562631,,,,,,,,,,,,
2026-07-13 13:48:13.643,16,27.303435,40.6907241,56.451076,69.9854009,23.7443783,32.8324675,26.4520474,21.0018578,-0.000355541221,31.191025,36.7019038,6.13507784,26.3435353,102.551062,-0.000117045475,329.516756,,,,,,,,,,,,
2026-07-13 13:48:33.727,17,27.262664,40.0085035,56.3416036,69.8356402,23.7500421,32.7248826,26.3733442,21.1302787,0.00215628127,30.9899844,36.5438366,6.13304987,26.3438405,100.900458,-0.000115461078,326.415556,,,,,,,,,,,,
2026-07-13 13:48:53.691,18,27.2226486,40.0363316,56.239773,69.6604622,23.7487893,32.7627043,26.2866043,21.2556411,-0.000887008635,30.7590199,36.4058883,5.83394679,26.3441819,101.586033,-0.000116570156,329.617222,,,,,,,,,,,,
2026-07-13 13:49:13.643,19,27.1126018,40.8176667,56.120866,69.455446,23.6966996,32.9505928,26.2042753,21.4726839,0.00675708061,30.5583971,36.4745374,6.2927486,26.3241765,102.445886,-0.000113442337,328.933459,,,,,,,,,,,,
2026-07-13 13:49:33.643,20,27.0486998,42.3743976,55.9737834,69.2310352,23.6890629,33.1967731,26.1666557,21.7646021,0.00254565401,30.3796185,36.6989309,6.12053436,26.1368447,101.696339,-0.000116225959,328.462107,,,,,,,,,,,,
